CODIGO,CANTIDAD,DESCRIPCION,PRECIO,
7622201735906,6,GALLETAS PEPITOS 119G,$2.200,
7791787000422,12,GALLETAS TRIO PEPAS X 200G,$1.200,
7622300829728,1,GALLETAS TERRABUSI MELBA X 120G,$1.200,
7622201740399,1,GALLETAS MINI PEPITOS X 50G,$1.000,
7622201761288,7,GALLETAS MINI OREOS X50G,$1.000,
7790628102684,6,GALLETAS VAINILLAS,$800,
7622201735296,6,GALLETAS OREO X 118G,$2.600,
7622202038099,3,GALLETAS OREO SIN GLUTEN X 95G,$2.200,
7790040149021,10,GALLETAS LIA SURTIDO X 400G,$1.900,
7790953000150,2,GALLETAS SELECTAS SURTIDAS 400G,$2.000,
7795735000335,3,GALLETAS DON SATUR DULCE 200G,$1.300,
7795735000328,4,GALLETAS DON SATUR SALADAS X 200G,$1.300,
7790040147720,3,GALLETAS SURTIDO BAGLEY 400G,$3.800,
7790040143364,3,GALLETA SURTIDO DIVERSION X 400G,$3.500,
7790040143227,10,GALLETAS CHOCOLINAS X 170G,$1.700,
7790040139657,5,GALLETAS MERENGADAS X 88G,$1.600,
7790040133488,2,GALLETAS SONRISAS X 108G,$1.600,
7790040133242,1,GALLETAS MANA CHOCOLATE X 152G,$1.700,
7790040133259,5,GALLETA MANA LIMON X 152G,$1.700,
7790040133266,3,GALLETA MANA FRUTILLA X 152G,$1.700,
7790040139169,5,GALLETAS LIA POLVORITA VAINILLA X 81G,$500,
7790040139176,4,GALLETAS LIA POLVORITA FRUTILLA X 81G,$500,
7790040139183,8,GALLETAS LIA POLVORITA CHOCOLATE X 81G,$500,
7790040146143,2,GALLETAS LIA POLVORITA CHOCOLATE X 152G,$1.200,
7790040143005,12,GALLETAS LIA MEDIATARDE X PAQUETE UNITARIO,$700,2000
7790742436504,1,LECHE EN POLVO LA SERENISIMA ZERO LACTOSA X 400G,$6.500,
7798278050027,2,LATA DURAZNOS DOÑA BERTINA X 485G,$2.300,
7790070432995,3,BIZCOCHUELO EXQUISITA SABOR LIMON X 540G,$3.300,
8445290900654,1,LECHE CONDENSADA NESTLE X 395G,$4.000,
7790080014709,1,QUESO RALLADO REGGIANITO SANCOR X 40G,$1.600,
7790742222909,2,QUESO RALLADO LA SERENISIMA X 35G,$1.700,
7792882000201,13,QUESO RALLADO LA QUESERA X 40G,$1.200,
7792170555536,13,AVENA INSTANTANEA QUAKER X 500G,$3.000,
7796504000891,4,VINAGRE DE MANZANA HALCONERO X 930CM,$3.200,
7796504000884,1,VINAGRE DE VINO HALCONERO X 930CM,$2.900,
7792900093253,9,VINAGRE DE VINO DOS ANCLAS X 1LT,$2.900,
7790127000061,1,SALSA INGLESA VANOLI X 190G,$2.700,
7790127000764,7,SALSA VANOLI CHIMICHURRI CLASICO X 190G,$2.500,
7790127000481,6,SALSA VANOLI AJI PICANTE X 190G,$2.700,
7790127781489,6,SALSA VANOLI CHIMICHURRI CLASICO X 350G,$2.200,
7790127780987,5,SALSA VANOLI CHIMICHURRI PICANTE X 350G,$2.000,
7792180001641,1,ACEITE GIRASOL CAÑUELAS X 900ML,$3.900,
7792180001665,1,"ACEITE GIRASOL CAÑUELAS X 1,5LT",$6.000,
7798374430020,24,ACEITE GIRASOL LEIRA X 900CC,$2.600,
7792540260138,12,AZUCAR LEDESMA X 1KG,$1.500,
7792180139320,5,HARINA CAÑUELAS ULTRA REFINADA 000 X 1KG,$900,
7790070562258,7,HARINA DE TRIGO FAVORITA 000 X 1KG,$1.000,
7798163930014,2,PASTA ARTESANAL TALLARINAS SECOS AL HUEVO CAROLINA X 500G,$3.000,
7798314230383,9,PASTA MOSTACHOL GUSTO ALDENTE X 500G,$1.000,
7798314230369,8,PASTA CODO GUSTO ALDENTE X 500G,$1.000,
7798314230390,11,PASTA RIGATONI GUSTO ALDENTE X 500G,$1.000,
7790070431295,6,HELADO EXQUISITA CHOCOLATE X 55G,$1.800,
7790070431271,9,HELADO EXQUISITA VAINILLA X 55G,$1.800,
7622201820534,6,GELATINA DURAZNO ROYAL X 25G,$1.200,
7622201819699,17,GELATINA CEREZA ROYAL X 25G,$1.200,
7622201819668,10,GELATINA FRAMBUESA ROYAL X 25G,$1.200,
7622201819620,3,GELATINA FRUTILLA ROYAL X 25G,$1.200,
7622201106034,13,GELATINA SIN SABOR ROYAL X 14G,$1.000,
7622201820596,5,GELATINA LIGTH FRUTILLA ROYAL X 25G,$1.200,
7622201819736,2,GELATINA LIGHT CEREZA ROYAL X 25G,$1.200,
7622201705169,1,POSTRE CHOCOLATE ROYAL X 65G,$1.800,
7622201705480,0,CREMA CHANTILLY ROYAL X 50G,$1.800,
7622201464882,3,POLVO PARA HORNEAR ROYAL X 50G,$1.500,
7622202370304,4,GELATINA UVA ULTRAVIOLETA ROYAL TANG X 25G,$1.500,
7790070336149,9,PASTA LUCHETTI MOSTACHOL N52 X 500G,$1.500,
7790070336309,8,PASTA MATARAZZO SPAGHETTI X 500G,$1.800,
7798314230413,9,PASTA TALLARIN GUSTO ALDENTE X 500G,$1.000,
7798314230406,7,PASTA SPAGHETTI GUSTO ALDENTE X 500G,$1.000,
7791599014495,1,PASTA SEMOLADO TIRABUZON DON GUIDO GUISEROS X 500G,$1.000,
7791599014495,5,PASTA SEMOLADO MOSTACHOL DON GUIDO GUISEROS X 500G,$1.000,
7790847000013,4,ARROZ PERSEGUIDO LARGO FINO X 1KG,$1.300,
7794571000028,3,LENTEJA RUBIA YAR IX 500G,$2.000,
7790580126315,2,POLENTA INSTANTANEA ARCOR PRESTOPRONTA ESPINACA A LA CREMA X 250G,$1.000,
7798055030620,1,TRIGO BURGOL LA ESPAÑOLA X  500GR,$1.800,
7794571000356,1,FRANGOLLO MOLINOR BLANCO X 500G,,
7792350068221,2,TOMATES PERITAS INALPA X 400G,$1.400,
7798432880064,37,SAPORE DE ANDES CHOCLO EN GRANOS X 300G,$1.400,
7798156760024,7,ARVEJAS SABORES DEL VALLE X 340G ,$1.000,
7790580132538,9,JARDINERA ARCOR X 300G,$1.000,
7798022220362,16,ARVEJAS SAN REMO X 205G,$1.000,
7790062000126,1,EXTRACTO DOBLE DE TOMATE OTITO X 150G,$1.000,
7792350067057,8,CHOCLO BLANCO CREMOSO INALPA X 300GR,$1.500,
7791885000805,3,PALMITOS ENTEROS CUMANÁ X 400G,$5.000,
7791885413315,1,PALMITOS ENTEROS CUMANA X 800G,$7.000,
7790580144111,5,RELLENO PARA TARTA ESPINACA Y ACELGA X 400G,$1.200,
7790580567101,3,TOMATE CUBETEADO ARCOR X 400GR,$1.300,
7798156760062,28,PURE DE TOMATES SABORES DEL VALLE X 520G,$1.000,
7798156760420,8,SALSA PIZZA SABORES DEL VALLE PREMIUM X 340G,$1.500,
7794000007987,5,SALSA PIZZA KNORR X 340G,$1.800,
7790580134464,1,SALSA PIZZA NOEL X 340G,$1.400,
7794000007987,23,SALSA PIZZA CON AJO OREGANO Y AJI KNORR X 340G,$1.800,
7794000006515,14,MOSTAZA SAVORA X 60G,$800,
7791620187273,3,MOSTAZA DANICA X 60G,$600,
7794000006096,12,MAYONESA CLASICA HELLMANN’S X 118G,$1.500,
7791620002255,7,MAYONESA FIESTA X 95GR,$1.000,
7793207000098,1,MAYONESA CON ACEITUNAS BENIDORM X 460GR,$2.200,
7793207000128,2,MAYONESA CHIMICHURRI BENIDORM X 460GR,$2.300,
7793207000210,2,QUESO CHEDDAR BENIDORM X 460G,$3.300,
7791620187730,2,MAYONESA FIESTA X 475GR,$1.800,
7791620187686,10,MOSTAZA DANICA X 220GR,$1.200,
7791620187723,7,MAYONESA FIESTA X 237G,$1.200,
7794000006478,1,MOSTAZA SAVORA X 250GR,$1.800,
